predicted_noise,date,year,month,borough,predicted_noise_adjusted,noise_reduction_coef,total_noise_reduction
3595350.106162577,2024-01-01,2024,1,Manhattan,719070.0212325155,1.301039617508147,2659811.52077665
4797843.545411171,2024-02-01,2024,2,Manhattan,959568.7090822343,1.301039617508147,3549406.639174035
3434457.049684304,2024-03-01,2024,3,Manhattan,686891.4099368608,1.301039617508147,2540784.112430419
3024313.3687483324,2024-04-01,2024,4,Manhattan,604862.6737496665,1.301039617508147,2237363.067048111
1131937.1099774307,2024-05-01,2024,5,Manhattan,226387.42199548613,1.301039617508147,837398.1050557679
-235852.12377753772,2023-06-01,2023,6,Queens,-47170.42475550755,1.301039617508147,-297222.71515914006
91647.89899843559,2023-07-01,2023,7,Queens,18329.57979968712,1.301039617508147,67800.3895067656
500718.17405400285,2023-08-01,2023,8,Queens,100143.63481080058,1.301039617508147,370427.33772388333
1290318.193921185,2023-09-01,2023,9,Queens,258063.63878423703,1.301039617508147,954567.1760245808
1370634.6973761362,2023-10-01,2023,10,Queens,274126.93947522726,1.301039617508147,1013984.6888926076
1288355.3093209981,2023-11-01,2023,11,Queens,257671.06186419964,1.301039617508147,953115.0495502818
1106367.9533330267,2023-12-01,2023,12,Queens,221273.59066660536,1.301039617508147,818482.2455674922
1173972.3191191102,2024-01-01,2024,1,Queens,234794.46382382207,1.301039617508147,868495.4197127344
1982213.0337932915,2024-02-01,2024,2,Queens,396442.6067586583,1.301039617508147,1466425.496332074
2216994.2437107903,2024-03-01,2024,3,Queens,443398.8487421581,1.301039617508147,1640114.7751397402
2774153.2429633206,2024-04-01,2024,4,Queens,554830.6485926642,1.301039617508147,2052296.5881365237
1761245.3138399413,2024-05-01,2024,5,Queens,352249.0627679883,1.301039617508147,1302955.3279486746
3917.226026877609,2023-06-01,2023,6,Staten Island,783.4452053755218,1.301039617508147,2897.9327765372486
8532.639135993595,2023-07-01,2023,7,Staten Island,1706.527827198719,1.301039617508147,6312.378824427965
3923.351120709709,2023-08-01,2023,8,Staten Island,784.6702241419418,1.301039617508147,2902.4640724220453
5736.423770897247,2023-09-01,2023,9,Staten Island,1147.2847541794495,1.301039617508147,4243.760853146688
5709.806173508066,2023-10-01,2023,10,Staten Island,1141.9612347016134,1.301039617508147,4224.069365502748
6064.356528555834,2023-11-01,2023,11,Staten Island,1212.871305711167,1.301039617508147,4486.362908886771
4563.37391812764,2023-12-01,2023,12,Staten Island,912.674783625528,1.301039617508147,3375.947866730152
11269.520332907014,2024-01-01,2024,1,Staten Island,2253.9040665814027,1.301039617508147,8337.10184822189
-125.68660502535204,2024-02-01,2024,2,Staten Island,-25.137321005070408,1.301039617508147,-158.39125553096835
-1894.268283534468,2024-03-01,2024,3,Staten Island,-378.8536567068936,1.301039617508147,-2387.171900147968
-162.55767562425058,2024-04-01,2024,4,Staten Island,-32.51153512485012,1.301039617508147,-204.85647084768826
1102.1938455371555,2024-05-01,2024,5,Staten Island,220.4387691074311,1.301039617508147,815.3942736936567
11960.252409922025,2023-06-01,2023,6,Unknown,2392.050481984405,1.301039617508147,8848.099965780855
12193.753926782603,2023-07-01,2023,7,Unknown,2438.7507853565207,1.301039617508147,9020.842537804663
11536.548164587291,2023-08-01,2023,8,Unknown,2307.309632917458,1.301039617508147,8534.646922303498
13594.08653808021,2023-09-01,2023,9,Unknown,2718.817307616042,1.301039617508147,10056.797508104904
14112.486833249503,2023-10-01,2023,10,Unknown,2822.497366649901,1.301039617508147,10440.305938925563
17045.236772868822,2023-11-01,2023,11,Unknown,3409.0473545737646,1.301039617508147,12609.931106607011
12538.248876532438,2023-12-01,2023,12,Unknown,2507.6497753064878,1.301039617508147,9275.697172023294
14550.213218427714,2024-01-01,2024,1,Unknown,2910.042643685543,1.301039617508147,10764.132450354678
12402.825525172757,2024-02-01,2024,2,Unknown,2480.5651050345514,1.301039617508147,9175.512049714547
13941.065624284936,2024-03-01,2024,3,Unknown,2788.2131248569876,1.301039617508147,10313.489886789806
11019.319265849757,2024-04-01,2024,4,Unknown,2203.8638531699517,1.301039617508147,8152.0050812814925
2810.202371625215,2024-05-01,2024,5,Unknown,562.0404743250431,1.301039617508147,2078.9654478852635
