borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips,co2_month,noise_month,cost_month
Brooklyn,2014,11,16.26710165445406,3.227377557631101,1828280.34,566491.0,177938924.77617976,39724385.74157303,19242684.161900807
EWR,2014,11,5.064102564102565,4.423076923076923,57.5,13.0,5596.23595505618,911.6067415730336,605.1885562086701
Manhattan,2014,11,13.261628510402304,2.7638175270108043,1240918.14,448987.0,120773403.6930337,31484582.775280897,13060686.21773475
Queens,2014,11,13.380307905169165,2.808806398163133,1164584.5,414619.0,113344167.85393257,29074575.044943817,12257273.254573843
Staten Island,2014,11,19.574186046511628,5.079162790697675,1092.02,215.0,106281.76674157302,15076.573033707864,11493.530559147686
Unknown,2014,11,13.802045328911,3.702587064676617,6697.9800000000005,1809.0,651886.5478651685,126853.58426966291,70496.36253416605
Bronx,2014,12,13.475367274062208,2.801221165398478,279785.97,99880.0,27230405.304943815,7003944.719101123,2686777.885973916
Brooklyn,2014,12,16.096206566676923,3.202549755154467,1914894.17,597928.0,186368688.77011234,41928861.21348314,18388682.284306023
EWR,2014,12,11.27543859649123,14.721052631578948,279.7,19.0,27222.03820224719,1332.3483146067415,2685.95231814842
Manhattan,2014,12,13.208827766283244,2.717468500416827,1258247.7,463022.0,122460017.7235955,32468767.438202243,12082922.15452241
Queens,2014,12,13.346717046155645,2.72998175386334,1246332.22,456535.0,121300333.59146066,32013875.6741573,11968498.08899559
Staten Island,2014,12,15.08542857142857,3.930257142857143,1375.59,350.0,133880.45595505615,24543.25842696629,13209.757416238059
Unknown,2014,12,17.70088816385717,3.48994562262099,6418.01,1839.0,624638.2316853933,128957.29213483144,61631.99441329904
Bronx,2015,1,13.067909907851648,2.769404386566141,242433.66,87540.0,23595060.25752809,6138619.550561797,1991197.9610168992
Brooklyn,2015,1,14.970981175960558,3.051936612169032,1722412.31,564367.0,167635229.54179776,39575443.2247191,14146813.935418075
EWR,2015,1,15.310256410256413,14.640769230769232,190.33,13.0,18524.02764044944,911.6067415730336,1563.251191770757
Manhattan,2015,1,12.495766998662177,2.61150850606706,1114625.78,426813.0,108481893.32988764,29929662.168539323,9154836.751764879
Queens,2015,1,12.636540039748065,2.695255396145822,1090360.18,404548.0,106120223.3613483,28368360.314606737,8955534.339538574
Staten Island,2015,1,28.600797872340426,5.324893617021277,1001.08,188.0,97430.95460674158,13183.235955056178,8222.242962527554
Unknown,2015,1,14.4267658315936,3.8592379958246346,7394.3,1916.0,719656.4786516854,134356.80898876404,60732.14042615724
Bronx,2015,2,13.853029792065378,2.7261761556685298,323354.48,118611.0,31470747.255730335,8317429.786516853,2546933.279444526
Brooklyn,2015,2,15.91079003790006,3.079322779243624,1743592.62,566226.0,169696621.0611236,39705802.98876404,13733578.299802354
EWR,2015,2,21.548717948717947,14.984615384615385,194.8,13.0,18959.07415730337,911.6067415730336,1534.3613078618666
Manhattan,2015,2,13.408125962166276,2.6090020576131687,1161465.1,445176.0,113040569.62022473,31217341.752808984,9148393.7878435
Queens,2015,2,13.346470687511736,2.682985350292733,1128707.79,420691.0,109852436.82,29500365.51685393,8890377.622475753
Staten Island,2015,2,16.64326797385621,4.397882352941177,1121.46,255.0,109147.03955056179,17881.516853932582,8833.289693607643
Unknown,2015,2,12.857761732851984,3.698731304796287,7171.84,1939.0,698005.3716853933,135969.65168539324,56489.70124320353
Bronx,2015,3,14.715358850719298,2.7855513043217828,372027.09,133556.0,36207850.04022472,9365426.921348313,3116417.0833071275
