pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips,co2_month,noise_month,cost_month
Unknown,2013,10,13.034048070883207,2.936981314860525,442626.58,150708.0,43079004.898426965,10568186.831460673,5201366.408459956
Bronx,2013,11,13.606523492639644,4.013059588626739,26534.35,6612.0,2582477.974157303,463657.21348314604,306256.3093130051
Brooklyn,2013,11,14.052605792397854,3.615781141660159,1486205.37,411033.0,144646190.05550563,28823111.83146067,17153605.477329172
EWR,2013,11,6.446443089430894,6.4401219512195125,1056.18,164.0,102793.60853932584,11500.269662921348,12190.303842762676
Manhattan,2013,11,12.201009766109866,2.4819523176489464,32129391.48,12945209.0,3127020101.1208987,907764599.6516854,370833612.096679
Queens,2013,11,27.536685478454533,10.281977769322673,6945095.55,675463.0,675937277.0123595,47365894.19101123,80159466.16250919
Staten Island,2013,11,15.04694835680751,5.122253521126761,727.36,142.0,70790.92494382022,9957.550561797752,8395.102542248347
Unknown,2013,11,13.079657357179457,2.893937127081664,747408.46,258267.0,72742158.20808989,18110610.64044944,8626499.481197648
Bronx,2013,12,13.156360759493673,3.844845569620253,30374.28,7900.0,2956202.3973033708,553976.404494382,361202.8587817781
Brooklyn,2013,12,13.440842584373408,3.5973506465033207,1345452.31,374012.0,130947279.8788764,26227066.202247187,15999761.005908525
EWR,2013,12,6.123922413793103,5.167155172413793,1198.78,232.0,116672.27370786516,16268.674157303369,14255.572907421012
Manhattan,2013,12,12.382543045035304,2.5074680049423246,31504148.97,12564128.0,3066167846.945393,881041829.7528089,374638960.04945666
Queens,2013,12,28.03074222815117,10.230620323096586,7323947.63,715885.0,712809374.9557303,50200430.16853932,87094437.18580419
Staten Island,2013,12,17.626220806794056,5.7622292993630575,904.67,157.0,88047.77011235955,11009.40449438202,10758.095015062454
Unknown,2013,12,13.429289605721346,2.934013086456734,626869.5,213656.0,61010602.348314606,14982326.921348313,7454565.358688464
Bronx,2014,1,12.94917821954835,3.722600052314936,28463.0,7646.0,2770185.4606741574,536165.011235955,338381.36120499636
Brooklyn,2014,1,13.270670637482436,3.510653256643424,1201805.44,342331.0,116966727.20539325,24005480.573033705,14287621.146427628
EWR,2014,1,9.24563492063492,5.965095238095239,1252.67,210.0,121917.16337078653,14725.955056179773,14892.322655400443
Manhattan,2014,1,11.6766685932264,2.410780439351336,30224021.87,12537028.0,2941578398.179101,879141480.3146067,359317206.9514872
Queens,2014,1,27.592025183768406,10.181379078366716,6462335.11,634721.0,628952210.368764,44508918.66292135,76827240.66629097
Staten Island,2014,1,14.44331550802139,4.789679144385026,895.67,187.0,87171.83752808988,13113.11235955056,10648.140877296106
Unknown,2014,1,29.08340742503293,2.7778181058447324,478643.06,172309.0,46584339.165393256,12082926.617977526,5690330.962095519
Bronx,2014,2,15.190531567061043,3.606874304783092,35668.38,9889.0,3471455.141123595,693452.2359550562,422642.78514621593
Brooklyn,2014,2,13.779320095805446,3.502499703327479,1180594.58,337072.0,114902362.38157304,23636700.58426966,13989134.954257164
EWR,2014,2,10.53234908136483,6.074330708661417,1542.88,254.0,150162.09617977528,17811.393258426964,18281.93768111683
Manhattan,2014,2,12.20041922431853,2.4777095657206227,29567273.86,11933309.0,2877659844.666517,836806533.3595505,350349384.33905065
Queens,2014,2,27.72530995587596,9.737391845596918,5013899.91,514912.0,487982033.93730336,36107480.80898876,59410845.75208523
Staten Island,2014,2,14.570058997050149,5.131769911504425,579.89,113.0,56438.28292134831,7923.966292134831,6871.249119764879
Unknown,2014,2,12.692553305791783,2.7726605351799423,516111.35,186143.0,50230972.06404494,13053016.438202245,6115521.321954445
Bronx,2014,3,12.678672624958624,3.762491559086395,37888.29,10070.0,3687509.7525842697,706144.606741573,463317.2744085232
Brooklyn,2014,3,13.90255512882468,3.6894267365261846,1450571.91,393170.0,141178133.53280896,27570494.044943817,17738330.858288024
EWR,2014,3,9.65,7.602027649769585,1649.64,217.0,160552.6031460674,15216.8202247191,20172.636678912564
Manhattan,2014,3,11.981775820824188,3.5720705365152843,50149709.23,14039395.0,4880862711.8006735,984492856.1235954,613256143.0675166
Queens,2014,3,27.74478891664428,10.014638548636606,6486701.71,647722.0,631323710.2474157,45420595.52808988,79322686.67121969
Staten Island,2014,3,12.07963963963964,4.8570810810810805,898.56,185.0,87453.10921348314,12972.865168539325,10988.048552534901
Unknown,2014,3,12.483952713569836,2.849707009194203,693969.2,243523.0,67541137.1955056,17076708.348314606,8486208.226010285
Bronx,2014,4,13.621799529814064,3.936599700790767,36838.7,9358.0,3585357.5213483144,656216.606741573,457588.8940374724
Brooklyn,2014,4,14.059365016490284,3.621358977229345,1261634.39,348387.0,122789630.18179774,24430149.06741573,15671288.215918072
EWR,2014,4,10.246328671328673,6.768286713286713,1935.73,286.0,188396.55348314607,20055.34831460674,24044.511610213078
Manhattan,2014,4,12.355143336890707,2.520749444705776,33299387.53,13210114.0,3240890952.6388764,926340690.7191011,413625614.1497366
Queens,2014,4,27.529119538406032,10.418355114331808,7064832.46,678114.0,687590772.68,47551791.84269662,87755237.6151014
Staten Island,2014,4,15.307070707070707,5.703409090909091,752.85,132.0,73271.7606741573,9256.314606741573,9351.464597722263
Unknown,2014,4,12.98948205302746,2.8719168973708493,818487.7,284997.0,79660005.13932583,19985014.348314606,10166777.910900073
Bronx,2014,5,13.90709493762692,4.073245213228894,37441.27,9192.0,3644003.154382022,644576.0898876404,472541.2893387215
Brooklyn,2014,5,14.685958606094932,3.673493710567564,1394476.58,379605.0,135718608.2692135,26619267.471910108,17599503.46411462
EWR,2014,5,10.5643470790378,5.99610824742268,2326.49,388.0,226427.59977528086,27207.955056179773,29362.320889052167
Manhattan,2014,5,12.855536354459916,2.5761106639536355,33907165.28,13162154.0,3300043434.3298874,922977563.0786515,427937823.66977227
Queens,2014,5,29.72925567629537,10.708886289511383,8431834.38,787368.0,820635386.5119102,55213075.14606741,106417060.35654667
Staten Island,2014,5,16.928641975308643,6.256814814814814,844.67,135.0,82208.21955056179,9466.685393258425,10660.467736958119
Unknown,2014,5,13.496838043992431,2.9615572374645223,1001717.12,338240.0,97492962.84764044,23718604.943820223,12642538.552711243
Bronx,2014,6,14.064268917929148,4.174004857175899,36092.62,8647.0,3512744.6566292136,606358.7303370786,455166.12583614996
Brooklyn,2014,6,14.916575638804613,3.702910286544616,1246129.29,336527.0,121280583.25820224,23598483.2247191,15715008.808455916
EWR,2014,6,11.989832285115304,7.859937106918239,2499.46,318.0,243262.05078651683,22299.303370786514,31520.83514254225
Manhattan,2014,6,12.798941086048597,3.534507932958765,43407217.7,12280979.0,4224644041.7685394,861186403.8089887,547410942.0107311
Queens,2014,6,29.45317495068451,26.54994631483655,19767125.33,744526.0,1923852130.4321346,52208840.06741572,249284364.93038535
Staten Island,2014,6,16.17842261904762,7.053928571428571,790.04,112.0,76891.30876404494,7853.842696629213,9963.240298310066
Unknown,2014,6,13.3689545561912,2.9296567517585856,1017042.06,347154.0,98984475.54741573,24343686.6741573,12825976.453430565
Bronx,2014,7,13.453810478324096,4.081218016743308,34612.81,8481.0,3368720.9013483142,594718.213483146,434919.74892983097
Brooklyn,2014,7,14.43679129003412,3.685436153307247,1078413.9,292615.0,104957541.59325841,20519215.898876403,13550575.71547759
EWR,2014,7,11.0506038647343,8.386884057971015,2314.78,276.0,225287.91415730337,19354.11235955056,29085.86550551066
Manhattan,2014,7,12.198696163583092,2.5371148666990986,29617332.61,11673627.0,2882531854.694607,818596697.8314606,372150162.4026624
Queens,2014,7,27.9946693352731,10.7309639866247,7538384.16,702489.0,733679590.9429213,49261054.483146064,94721929.43028362
Staten Island,2014,7,16.442434210526315,6.779999999999999,1030.56,152.0,100300.1204494382,10658.786516853932,12949.277925055107
Unknown,2014,7,12.678124515447893,2.870896859657908,968959.27,337511.0,94304777.49146067,23667484.842696626,12175247.32697612
Bronx,2014,8,14.424148391812864,4.018792763157895,36651.39,9120.0,3567127.417752809,639527.1910112359,443038.8246094783
Brooklyn,2014,8,15.07656889635838,4.0772272059251495,1120813.45,274896.0,109084113.52696629,19276695.91011236,13548295.808003305
EWR,2014,8,4.441666666666666,8.262295597484277,2627.41,318.0,255714.89235955055,22299.303370786514,31759.90428104335
Manhattan,2014,8,13.115414214813296,51.433219052466185,579060382.37,11258490.0,56357539686.392586,789485798.7640449,6999631697.000301
Queens,2014,8,29.083135950013727,121.9088965042264,91336461.53,749219.0,8889398087.335505,52537930.101123594,1104067228.0161827
Staten Island,2014,8,16.440918163672652,7.235029940119761,1208.25,167.0,117593.94943820224,11710.6404494382,14605.221243570903
Unknown,2014,8,9.4383111558445,3.197855909165547,1051653.29,328862.0,102353042.67393258,23060985.865168538,12712293.79017524
Bronx,2014,9,15.069925886239842,3.932435038842754,29359.56,7466.0,2857443.918202247,523542.7640449438,344528.2885657605
Brooklyn,2014,9,15.50090149494248,4.948564841864177,1482199.09,299521.0,144256275.47842696,21003489.4494382,17393295.941472813
EWR,2014,9,8.830351437699681,6.223418530351438,1947.93,313.0,189583.92876404495,21948.685393258424,22858.550644011757
