pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
EWR,2013,9,6.59945945945946,6.527891891891892,1207.66,185.0
Manhattan,2013,9,12.304226490983392,2.5421304009340013,32297535.41,12704909.0
Queens,2013,9,27.617242999897684,10.537721919443404,7724413.61,733025.0
Staten Island,2013,9,17.550555555555555,7.811333333333334,937.36,120.0
Unknown,2013,9,13.06751196518493,2.9889174439670017,399265.57,133582.0
Bronx,2013,10,14.145313924186372,4.113767090236449,25575.29,6217.0
Brooklyn,2013,10,14.464697998821183,3.706424074022098,1584674.2,427548.0
EWR,2013,10,8.182348804500704,6.81957805907173,1616.24,237.0
Manhattan,2013,10,12.294908882796468,2.5188893494682003,34180993.46,13569867.0
Queens,2013,10,28.15590199131904,10.602001285577018,7999475.02,754525.0
Staten Island,2013,10,13.986827956989249,4.977258064516128,617.18,124.0
Unknown,2013,10,13.034048070883207,2.936981314860525,442626.58,150708.0
Bronx,2013,11,13.606523492639644,4.013059588626739,26534.35,6612.0
Brooklyn,2013,11,14.052605792397854,3.615781141660159,1486205.37,411033.0
EWR,2013,11,6.446443089430894,6.4401219512195125,1056.18,164.0
Manhattan,2013,11,12.201009766109866,2.4819523176489464,32129391.48,12945209.0
Queens,2013,11,27.536685478454533,10.281977769322673,6945095.55,675463.0
Staten Island,2013,11,15.04694835680751,5.122253521126761,727.36,142.0
Unknown,2013,11,13.079657357179457,2.893937127081664,747408.46,258267.0
Bronx,2013,12,13.156360759493673,3.844845569620253,30374.28,7900.0
Brooklyn,2013,12,13.440842584373408,3.5973506465033207,1345452.31,374012.0
EWR,2013,12,6.123922413793103,5.167155172413793,1198.78,232.0
Manhattan,2013,12,12.382543045035304,2.5074680049423246,31504148.97,12564128.0
Queens,2013,12,28.03074222815117,10.230620323096586,7323947.63,715885.0
Staten Island,2013,12,17.626220806794056,5.7622292993630575,904.67,157.0
Unknown,2013,12,13.429289605721346,2.934013086456734,626869.5,213656.0
Bronx,2014,1,12.94917821954835,3.722600052314936,28463.0,7646.0
