predicted_co2_emissions,date,year,month,borough,predicted_co2_emissions_adjusted,co2_reduction_coef,total_co2_reduction
8891.242784594651,2023-10-01,2023,10,Staten Island,1778.2485569189303,105.87038986931144,7007.12383780641
-1046224.8433995643,2023-11-01,2023,11,Staten Island,-209244.96867991285,105.87038986931144,-1255575.6824693463
50379.64477102726,2023-12-01,2023,12,Staten Island,10075.928954205454,105.87038986931144,40197.845426952495
-96641.00099760565,2024-01-01,2024,1,Staten Island,-19328.20019952113,105.87038986931144,-116075.07158699608
261920.57199199634,2024-02-01,2024,2,Staten Island,52384.11439839927,105.87038986931144,209430.58720372774
95583.77612934279,2024-03-01,2024,3,Staten Island,19116.755225868557,105.87038986931144,76361.15051360492
20080.85421725853,2024-04-01,2024,4,Staten Island,4016.170843451706,105.87038986931144,15958.812983937512
197312.09238407356,2024-05-01,2024,5,Staten Island,39462.41847681472,105.87038986931144,157743.80351738952
498848.84199620865,2023-06-01,2023,6,Unknown,99769.76839924173,105.87038986931144,398973.2032070976
482691.6223215616,2023-07-01,2023,7,Unknown,96538.32446431233,105.87038986931144,386047.42746737995
472438.1399982284,2023-08-01,2023,8,Unknown,94487.62799964569,105.87038986931144,377844.6416087134
1150572.401266987,2023-09-01,2023,9,Unknown,230114.4802533974,105.87038986931144,920352.0506237203
738756.0399132505,2023-10-01,2023,10,Unknown,147751.2079826501,105.87038986931144,590898.961540731
438322.1809673747,2023-11-01,2023,11,Unknown,87664.43619347495,105.87038986931144,350551.87438403047
1116421.353858002,2023-12-01,2023,12,Unknown,223284.27077160042,105.87038986931144,893031.2126965323
978140.1881399574,2024-01-01,2024,1,Unknown,195628.0376279915,105.87038986931144,782406.2801220965
1208101.1852528187,2024-02-01,2024,2,Unknown,241620.23705056377,105.87038986931144,966375.0778123856
627880.3281325812,2024-03-01,2024,3,Unknown,125576.06562651624,105.87038986931144,502198.39211619564
674759.0346250175,2024-04-01,2024,4,Unknown,134951.8069250035,105.87038986931144,539701.3573101447
663440.3149044329,2024-05-01,2024,5,Unknown,132688.06298088658,105.87038986931144,530646.381533677
