borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Queens,2018,2,35.99938137812733,5.721786241771961,64297.911111111105,23947.0
Staten Island,2018,2,26.328651685393258,8.332921348314606,741.63,89.0
Unknown,2018,2,6.2510147601476005,6.773717712177122,963.65,271.5
Bronx,2018,3,188.03028999092763,11.53312957811641,46832.52250000001,10765.5
Brooklyn,2018,3,125.8967249137922,3.539878529181999,179307.484,53866.2
EWR,2018,3,6.25,2.265,4.53,2.0
Manhattan,2018,3,93.15617053329268,2.3230452904876517,97500.78857142858,39322.0
Queens,2018,3,11.895898251815376,2.918820435752753,97594.68142857145,34156.57142857143
Staten Island,2018,3,52.383859649122805,12.08042105263158,1147.64,95.0
Unknown,2018,3,15.569758539458189,4.191095406360424,2372.16,566.0
Bronx,2018,4,182.97317303418998,4.118325425650928,42209.812,8703.0
Brooklyn,2018,4,158.24563592339297,4.777761562536224,152062.035,43138.5
EWR,2018,4,13.416666666666664,5.453333333333333,16.36,3.0
Manhattan,2018,4,118.71968176552124,3.8505586458461076,93920.49285714285,37377.71428571428
Queens,2018,4,83.11043940354651,2.0091847845475126,114093.11,37618.666666666664
Staten Island,2018,4,36.09245014245014,12.13,1419.21,117.0
Unknown,2018,4,15.940770609318998,3.8636379928315407,2155.91,558.0
Bronx,2018,5,44.31979568075383,2.6547691491843963,80026.83,15716.333333333334
Brooklyn,2018,5,301.4866036940683,2.316728827261034,185513.75400000002,50226.4
Manhattan,2018,5,92.66954794594496,4.6436196897522395,133007.52,50639.0
Queens,2018,5,144.97930019364293,2.2154041978395416,182987.0825,58673.0
Staten Island,2018,5,67.55353535353535,13.185151515151514,1305.33,99.0
Unknown,2018,5,17.26618731563422,4.159314159292036,1880.01,452.0
Bronx,2018,6,376.4249230338651,3.72480010900467,78515.57333333333,15086.666666666666
Brooklyn,2018,6,189.96993087193317,3.8872991464666007,171208.574,45690.0
EWR,2018,6,0.1277777777777777,2.643333333333333,7.93,3.0
Manhattan,2018,6,220.01257072863706,2.5501417061560616,124665.56399999998,47135.6
Queens,2018,6,151.47712322506138,2.8298735064655953,119602.72333333333,36713.666666666664
Staten Island,2018,6,47.503900709219856,14.049680851063831,1320.67,94.0
Unknown,2018,6,21.64898785425101,4.640607287449392,2292.46,494.0
Bronx,2018,7,140.6223046049852,4.999354372623574,52939.8125,9863.25
Brooklyn,2018,7,67.16860003667806,4.0516000339916065,165090.95399999997,43274.4
Manhattan,2018,7,159.43392651419086,3.5401926619091255,112913.06600000002,43217.2
Queens,2018,7,194.95985844529227,2.285914973767595,110133.37333333334,33991.666666666664
Staten Island,2018,7,45.35864197530864,15.422814814814814,2082.08,135.0
Unknown,2018,7,18.88723628691983,3.918206751054852,1857.23,474.0
Bronx,2018,8,61.94665045648484,5.029326260494564,48824.848,8720.4
Brooklyn,2018,8,87.31893505109923,6.098233561132417,103810.69,25785.75
EWR,2018,8,0.2583333333333333,9.0,18.0,2.0
Manhattan,2018,8,35.00274076854498,3.06110676197605,112039.504,42178.4
Queens,2018,8,160.70803372645983,3.158748450581409,59078.085,17183.166666666668
Staten Island,2018,8,49.46099290780141,15.722340425531916,2955.8,188.0
Unknown,2018,8,19.51409844836811,3.725216693418941,2320.81,623.0
Bronx,2018,9,277.15519135926445,3.0547518689607465,51659.902,8963.4
Brooklyn,2018,9,47.474649982826584,3.0954731324869806,124550.31571428571,30815.0
EWR,2018,9,0.5666666666666667,1.905,3.81,2.0
Manhattan,2018,9,165.4178850227849,3.720777266519625,80348.30142857143,30116.0
Queens,2018,9,139.7259694188856,3.6239108568199474,67337.34,18373.272727272728
Staten Island,2018,9,49.2590395480226,16.664745762711863,3932.88,236.0
Unknown,2018,9,21.40536062378168,4.68608187134503,2403.96,513.0
Bronx,2018,10,159.13779412931407,4.920816941427238,103482.12333333334,17586.666666666668
Brooklyn,2018,10,32.557105383642835,6.597301136801177,251679.3225,59521.75
EWR,2018,10,0.1916666666666666,0.195,0.39,2.0
Manhattan,2018,10,96.34367820212746,3.08326177081398,67049.48222222223,24789.88888888889
Queens,2018,10,144.3607240311268,3.044000356082381,103292.43142857142,29769.85714285714
