Start date/time in UTC,Timezone,Duration (s),Observer ID,Latitude,Longitude,Mean volume (dBA),Could control noise exposure,Indoors,Noise_Source,Nominated as noise refuge,Start date UTC,Start time UTC,Mood_scale,timestamp,hour_of_day,day_of_month,month,day_of_week
2022-03-23 21:23:50,New York,29,247,33.95323,-84.29308,48,True,True,"dog,television",False,2022-03-23,21:23:50,Happy,2022-03-23 21:23:50,21,23,3,3
2022-03-24 21:18:04,New York,29,248,33.92882,-84.2951,39,True,True,"automobile,vertical traffic light,taxi,bus,racing motorcycle,railway car",False,2022-03-24,21:18:04,Happy,2022-03-24 21:18:04,21,24,3,4
2022-03-28 20:54:48,New York,29,260,33.8644,-84.2939,66,True,False,"woman,soccer ball,rolling on the floor laughing",False,2022-03-28,20:54:48,Neutral,2022-03-28 20:54:48,20,28,3,1
2022-03-28 21:18:53,New York,29,242,33.88968,-84.27926,39,True,True,"multiple musical notes,desktop computer",False,2022-03-28,21:18:53,Happy,2022-03-28 21:18:53,21,28,3,1
2022-03-29 08:39:19,New York,29,261,33.86425,-84.29117,50,True,True,,False,2022-03-29,08:39:19,Happy,2022-03-29 08:39:19,8,29,3,2
2022-03-29 18:47:30,New York,29,263,33.79695,-84.40366,38,True,True,,False,2022-03-29,18:47:30,Neutral,2022-03-29 18:47:30,18,29,3,2
2022-03-29 19:08:58,New York,29,264,33.78311,-84.10702,55,False,False,,False,2022-03-29,19:08:58,Happy,2022-03-29 19:08:58,19,29,3,2
2022-03-29 20:34:09,New York,29,265,33.99403,-84.0713,52,False,False,"automobile,vertical traffic light,bird,racing motorcycle,wind blowing face",False,2022-03-29,20:34:09,Happy,2022-03-29 20:34:09,20,29,3,2
2022-03-29 21:18:31,New York,29,261,33.9077,-84.33777,53,False,False,,False,2022-03-29,21:18:31,Happy,2022-03-29 21:18:31,21,29,3,2
2022-03-29 21:51:15,New York,29,266,33.90772,-84.33777,55,False,False,,False,2022-03-29,21:51:15,Happy,2022-03-29 21:51:15,21,29,3,2
2022-03-30 04:59:06,New York,29,267,33.7823,-84.31601,52,False,False,,False,2022-03-30,04:59:06,Happy,2022-03-30 04:59:06,4,30,3,3
2022-03-30 13:31:20,New York,29,130,43.02808,-76.13647,49,False,True,speaking head in silhouette,False,2022-03-30,13:31:20,Neutral,2022-03-30 13:31:20,13,30,3,3
2022-04-01 22:56:11,New York,29,138,32.61494,-83.69051,46,False,True,"battery,automobile,cricket",False,2022-04-01,22:56:11,Happy,2022-04-01 22:56:11,22,1,4,5
2022-04-04 17:12:22,New York,29,221,33.84679,-84.23641,55,False,False,"automobile,railway track,racing motorcycle,woman,bird,deciduous tree",False,2022-04-04,17:12:22,Happy,2022-04-04 17:12:22,17,4,4,1
2022-04-05 23:15:26,New York,29,221,33.84681,-84.23637,52,False,True,sleeping face,False,2022-04-05,23:15:26,Very Sad,2022-04-05 23:15:26,23,5,4,2
2022-04-06 09:47:21,New York,29,275,40.85344,-73.06044,36,True,True,,False,2022-04-06,09:47:21,Extremely Happy,2022-04-06 09:47:21,9,6,4,3
2022-04-06 11:17:50,New York,29,130,43.02807,-76.13646,78,False,True,,False,2022-04-06,11:17:50,Somewhat Sad,2022-04-06 11:17:50,11,6,4,3
2022-04-08 21:19:17,New York,29,276,41.51647,-72.9282,53,True,True,"television,sleeping accommodation",False,2022-04-08,21:19:17,Happy,2022-04-08 21:19:17,21,8,4,5
2022-04-09 13:58:46,New York,29,276,41.5747,-73.05483,39,False,True,"ambulance,hospital",False,2022-04-09,13:58:46,Happy,2022-04-09 13:58:46,13,9,4,6
2022-04-14 08:53:09,New York,29,284,41.65418,-83.53736,53,False,True,"desktop computer,office building",False,2022-04-14,08:53:09,Neutral,2022-04-14 08:53:09,8,14,4,4
2022-04-15 15:47:30,New York,29,283,42.43177,-71.07092,60,False,False,,False,2022-04-15,15:47:30,Neutral,2022-04-15 15:47:30,15,15,4,5
2022-04-15 17:54:40,New York,29,292,33.9835,-84.45178,63,True,False,"bird,radio,speaker with three sound waves",False,2022-04-15,17:54:40,Neutral,2022-04-15 17:54:40,17,15,4,5
2022-04-24 16:13:35,New York,29,318,42.44695,-76.48896,37,True,True,,False,2022-04-24,16:13:35,Happy,2022-04-24 16:13:35,16,24,4,7
2022-04-24 22:36:42,New York,29,130,43.02813,-76.13638,48,False,True,,False,2022-04-24,22:36:42,Neutral,2022-04-24 22:36:42,22,24,4,7
2022-04-25 14:13:52,New York,29,329,42.44112,-71.0852,55,False,False,,False,2022-04-25,14:13:52,Neutral,2022-04-25 14:13:52,14,25,4,1
2022-04-25 14:24:44,New York,29,141,40.90696,-73.78117,73,False,False,"building construction,rolling on the floor laughing,man+personal computer,high-heeled shoe",False,2022-04-25,14:24:44,Somewhat Sad,2022-04-25 14:24:44,14,25,4,1
2022-04-25 14:27:39,New York,34,141,40.90686,-73.78124,73,False,False,,False,2022-04-25,14:27:39,Very Sad,2022-04-25 14:27:39,14,25,4,1
2022-04-25 14:47:03,New York,29,141,40.90691,-73.7812,63,False,False,"hammer and wrench,tractor,null,hammer,building construction",False,2022-04-25,14:47:03,Somewhat Sad,2022-04-25 14:47:03,14,25,4,1
2022-04-25 14:50:50,New York,29,141,40.90709,-73.7813,64,False,False,,False,2022-04-25,14:50:50,Somewhat Sad,2022-04-25 14:50:50,14,25,4,1
2022-04-25 15:45:25,New York,29,329,42.43915,-71.07827,71,False,False,,True,2022-04-25,15:45:25,Happy,2022-04-25 15:45:25,15,25,4,1
2022-04-26 13:47:55,New York,29,130,43.02809,-76.13651,51,False,True,,False,2022-04-26,13:47:55,Neutral,2022-04-26 13:47:55,13,26,4,2
2022-04-27 11:50:40,New York,29,332,42.89581,-72.51134,41,True,True,"sleeping accommodation,automobile",False,2022-04-27,11:50:40,Neutral,2022-04-27 11:50:40,11,27,4,3
2022-04-27 14:14:21,New York,29,141,40.90689,-73.7811,74,False,False,,False,2022-04-27,14:14:21,Very Sad,2022-04-27 14:14:21,14,27,4,3
2022-04-27 14:16:12,New York,29,141,40.90762,-73.78179,72,False,False,"building construction,null,hammer,tractor",False,2022-04-27,14:16:12,Very Sad,2022-04-27 14:16:12,14,27,4,3
2022-04-27 17:54:59,New York,29,333,44.48413,-73.18935,42,True,True,sleeping accommodation,False,2022-04-27,17:54:59,Neutral,2022-04-27 17:54:59,17,27,4,3
2022-04-28 07:22:35,New York,29,141,40.90709,-73.78123,70,False,False,,False,2022-04-28,07:22:35,Very Sad,2022-04-28 07:22:35,7,28,4,4
